domain	status	timestamp	time	category
facebook.com	completed	2022-01-22 15:41:43	57.3666736	Social Networking
youtube.com	completed	2022-01-22 15:42:40	172.3737864	Streaming Media and Download
microsoft.com	completed	2022-01-22 15:45:32	457.9151453	Information Technology
twitter.com	completed	2022-01-22 15:58:25	99.804604	Social Networking
instagram.com	completed	2022-01-22 16:15:34	81.172724	Social Networking
tmall.com	no dialog found	2022-01-22 16:16:55	26.7294312	Shopping
linkedin.com	no dialog found	2022-01-22 16:17:22	47.4919704	Business
qq.com	no dialog found	2022-01-22 16:18:10	20.990457	Search Engines and Portals
apple.com	no dialog found	2022-01-22 16:18:30	13.424757	Information Technology
baidu.com	no dialog found	2022-01-22 16:18:44	27.5527188	Search Engines and Portals
wikipedia.org	no dialog found	2022-01-22 16:19:12	9.483315	Reference
windowsupdate.com	no dialog found	2022-01-22 16:19:21	28.9836751	Information Technology
live.com	no dialog found	2022-01-22 16:19:50	11.2013128	Search Engines and Portals
sohu.com	no dialog found	2022-01-22 16:20:01	48.6787196	Search Engines and Portals
googletagmanager.com	no dialog found	2022-01-22 16:20:50	10.2235368	Information Technology
yahoo.com	completed	2022-01-22 16:21:00	144.4035882	Search Engines and Portals
amazon.com	no dialog found	2022-01-22 16:23:24	19.7349524	Shopping
youtu.be	completed	2022-01-22 16:23:44	189.1485311	Streaming Media and Download
taobao.com	no dialog found	2022-01-22 16:26:53	20.4981393	Shopping
pinterest.com	no dialog found	2022-01-22 16:27:14	16.9557213000001	Social Networking
360.cn	no dialog found	2022-01-22 16:30:36	15.6335942	Information Technology
vimeo.com	no dialog found	2022-01-22 16:30:51	49.9224801	Streaming Media and Download
doubleclick.net	completed	2022-01-22 16:31:41	101.2033458	Advertising
office.com	completed	2022-01-22 16:33:22	59.5287128	Information Technology
netflix.net	no dialog found	2022-01-22 16:34:22	35.6038898	Streaming Media and Download
jd.com	no dialog found	2022-01-22 16:34:58	23.2689248	Shopping
wordpress.org	no dialog found	2022-01-22 16:35:21	8.94100119999996	Information Technology
bing.com	completed	2022-01-22 16:35:30	117.482336	Search Engines and Portals
wordpress.com	completed	2022-01-22 16:37:27	111.6177717	Personal Websites and Blogs
reddit.com	completed	2022-01-22 16:39:19	75.1152014999999	Newsgroups and Message Boards
zoom.us	completed	2022-01-22 16:40:34	146.469701	Online Meeting
microsoftonline.com	failed to connect	2022-01-22 16:43:00	0.0	Information Technology
goo.gl	no dialog found	2022-01-22 16:43:05	37.3715099999999	URL Shortening
weibo.com	no dialog found	2022-01-22 16:43:42	22.3062071999999	Social Networking
github.com	no dialog found	2022-01-22 16:44:04	13.9010298000001	Information Technology
amazonaws.com	completed	2022-01-22 16:44:18	138.4666623	Information Technology
bit.ly	completed	2022-01-22 16:46:37	97.0716197000001	URL Shortening
googleusercontent.com	no dialog found	2022-01-22 16:48:14	7.8128591000002	Content Servers
sina.com.cn	no dialog found	2022-01-22 16:48:22	39.2439691	Search Engines and Portals
blogspot.com	no dialog found	2022-01-22 16:49:01	10.1455292000001	Personal Websites and Blogs
xinhuanet.com	no dialog found	2022-01-22 16:49:11	26.1391724	News and Media
mozilla.org	no dialog found	2022-01-22 16:49:37	14.0330769999998	Information Technology
tumblr.com	no dialog found	2022-01-22 16:49:51	11.6772254	Personal Websites and Blogs
whatsapp.com	completed	2022-01-22 16:50:03	101.06435	Instant Messaging
msn.com	completed	2022-01-22 16:51:44	136.3803636	Search Engines and Portals
google-analytics.com	completed	2022-01-22 16:54:00	82.8422544	Information Technology
flickr.com	completed	2022-01-22 17:01:06	104.0428697	File Sharing and Storage
europa.eu	completed	2022-01-22 17:02:50	109.3590163	Government and Legal Organizations
skype.com	completed	2022-01-22 17:04:39	107.3376442	Internet Telephony
gravatar.com	completed	2022-01-22 17:06:27	98.6056178999997	Information Technology
nih.gov	no dialog found	2022-01-22 17:08:05	21.8192355000001	Government and Legal Organizations
office365.com	completed	2022-01-22 17:08:27	91.9924744	Information Technology
dropbox.com	completed	2022-01-22 17:09:59	60.2693629999999	File Sharing and Storage
soundcloud.com	completed	2022-01-22 17:11:00	152.5543456	Streaming Media and Download
panda.tv	no dialog found	2022-01-22 17:13:32	23.3256837999998	Streaming Media and Download
zhanqi.tv	no dialog found	2022-01-22 17:13:56	31.9260548000002	Games
alipay.com	no dialog found	2022-01-22 17:16:53	26.8860703	Finance and Banking
t.co	no dialog found	2022-01-22 17:17:20	11.8290536	Information Technology
myshopify.com	no dialog found	2022-01-22 17:17:32	10.0986542000001	Shopping
google.com.hk	completed	2022-01-22 17:17:42	71.1736645999999	Search Engines and Portals
spotify.com	completed	2022-01-22 17:18:53	151.2099349	Internet Radio and TV
apache.org	no dialog found	2022-01-22 17:21:24	13.1520212	Information Technology
macromedia.com	completed	2022-01-22 17:21:37	323.4997077	Information Technology
cnn.com	completed	2022-01-22 17:27:01	352.5387125	News and Media
csdn.net	no dialog found	2022-01-22 17:32:54	27.5785348000004	Information Technology
ebay.com	completed	2022-01-22 17:33:21	105.168638	Auction
forbes.com	completed	2022-01-22 17:35:06	140.226574	News and Media
fbcdn.net	completed	2022-01-22 17:37:26	54.8309930999999	Social Networking
w3.org	no dialog found	2022-01-22 17:38:21	16.1169657999999	Information Technology
twitch.tv	completed	2022-01-22 17:38:37	117.7311673	Games
paypal.com	completed	2022-01-22 17:40:35	103.961898400001	Finance and Banking
yahoo.co.jp	no dialog found	2022-01-22 17:44:20	22.8141347000001	Search Engines and Portals
sourceforge.net	no dialog found	2022-01-22 17:47:50	14.3065950999999	Information Technology
archive.org	no dialog found	2022-01-22 17:48:05	17.6925726999998	Reference
imdb.com	no dialog found	2022-01-22 17:48:22	18.7250709	Entertainment
akamaiedge.net	failed to connect	2022-01-22 17:50:05	0.0	Content Servers
github.io	no dialog found	2022-01-22 17:50:20	9.31451000000016	Information Technology
ytimg.com	failed to connect	2022-01-22 17:50:29	0.0	Content Servers
akadns.net	failed to connect	2022-01-22 17:51:43	0.0	Content Servers
okezone.com	no dialog found	2022-01-22 17:52:15	28.5450916999998	News and Media
icloud.com	no dialog found	2022-01-22 17:52:43	17.5921958999998	File Sharing and Storage
bongacams.com	completed	2022-01-22 17:53:00	29.1415059000001	Pornography
googleadservices.com	no dialog found	2022-01-22 17:53:29	11.2346287	Advertising
aliexpress.com	no dialog found	2022-01-22 17:53:41	22.2455146000002	Shopping
googlesyndication.com	completed	2022-01-22 17:54:03	64.1164835999998	Advertising
windows.net	no dialog found	2022-01-22 17:56:58	9.77583690000029	Information Technology
creativecommons.org	no dialog found	2022-01-22 17:57:08	13.9780596000001	General Organizations
who.int	no dialog found	2022-01-23 14:19:39	32.6795789	Health and Wellness
weebly.com	no dialog found	2022-01-23 14:20:12	30.5097436	Web Hosting
wixsite.com	no dialog found	2022-01-23 14:29:51	237.2043725	Web Hosting
amazon.in	no dialog found	2022-01-23 14:33:48	40.2823228	Shopping
etsy.com	completed	2022-01-23 14:34:29	90.8746291	Shopping
amazon.co.jp	no dialog found	2022-01-23 14:36:00	15.9201446000001	Shopping
washingtonpost.com	completed	2022-01-23 14:37:27	271.4480667	News and Media
forms.gle	no dialog found	2022-01-23 14:41:57	23.4237742	Web
huanqiu.com	no dialog found	2022-01-23 14:42:20	29.1205336	News and Media
office.net	failed to connect	2022-01-23 14:42:49	0.0	Information Technology
tianya.cn	no dialog found	2022-01-23 14:42:53	28.1025379	Newsgroups and Message Boards
yy.com	no dialog found	2022-01-23 14:43:21	216.2318069	Streaming Media and Download
canva.com	completed	2022-01-23 14:46:58	87.0406830000001	Web
